video_id,audio_file,signal_file,label
aagfhgtpmv,aagfhgtpmv.wav,aagfhgtpmv_signal.csv,1
abarnvbtwb,abarnvbtwb.wav,abarnvbtwb_signal.csv,1
abqwwspghj,abqwwspghj.wav,abqwwspghj_signal.csv,1
acxnxvbsxk,acxnxvbsxk.wav,acxnxvbsxk_signal.csv,1
acxwigylke,acxwigylke.wav,acxwigylke_signal.csv,1
aczrgyricp,aczrgyricp.wav,aczrgyricp_signal.csv,1
adohikbdaz,adohikbdaz.wav,adohikbdaz_signal.csv,1
adylbeequz,adylbeequz.wav,adylbeequz_signal.csv,1
aelzhcnwgf,aelzhcnwgf.wav,aelzhcnwgf_signal.csv,1
aettqgevhz,aettqgevhz.wav,aettqgevhz_signal.csv,1
aevrfsexku,aevrfsexku.wav,aevrfsexku_signal.csv,1
afoovlsmtx,afoovlsmtx.wav,afoovlsmtx_signal.csv,1
agdkmztvby,agdkmztvby.wav,agdkmztvby_signal.csv,1
ahbweevwpv,ahbweevwpv.wav,ahbweevwpv_signal.csv,1
ahfazfbntc,ahfazfbntc.wav,ahfazfbntc_signal.csv,1
ajqslcypsw,ajqslcypsw.wav,ajqslcypsw_signal.csv,1
aknbdpmgua,aknbdpmgua.wav,aknbdpmgua_signal.csv,1
aknmpoonls,aknmpoonls.wav,aknmpoonls_signal.csv,1
akxoopqjqz,akxoopqjqz.wav,akxoopqjqz_signal.csv,1
akzbnazxtz,akzbnazxtz.wav,akzbnazxtz_signal.csv,1
aladcziidp,aladcziidp.wav,aladcziidp_signal.csv,1
alninxcyhg,alninxcyhg.wav,alninxcyhg_signal.csv,1
altziddtxi,altziddtxi.wav,altziddtxi_signal.csv,1
alvgwypubw,alvgwypubw.wav,alvgwypubw_signal.csv,1
amowujxmzc,amowujxmzc.wav,amowujxmzc_signal.csv,1
aneclqfpbt,aneclqfpbt.wav,aneclqfpbt_signal.csv,1
apgjqzkoma,apgjqzkoma.wav,apgjqzkoma_signal.csv,1
apogckdfrz,apogckdfrz.wav,apogckdfrz_signal.csv,1
arkroixhey,arkroixhey.wav,arkroixhey_signal.csv,1
arlmiizoob,arlmiizoob.wav,arlmiizoob_signal.csv,1
asvcrfdpnq,asvcrfdpnq.wav,asvcrfdpnq_signal.csv,1
atkdltyyen,atkdltyyen.wav,atkdltyyen_signal.csv,1
atxvxouljq,atxvxouljq.wav,atxvxouljq_signal.csv,1
atyntldecu,atyntldecu.wav,atyntldecu_signal.csv,1
aufmsmnoye,aufmsmnoye.wav,aufmsmnoye_signal.csv,1
avnqydkqjj,avnqydkqjj.wav,avnqydkqjj_signal.csv,1
avssvvsdhz,avssvvsdhz.wav,avssvvsdhz_signal.csv,1
avywawptfc,avywawptfc.wav,avywawptfc_signal.csv,1
awhmfnnjih,awhmfnnjih.wav,awhmfnnjih_signal.csv,1
awnwkrqibf,awnwkrqibf.wav,awnwkrqibf_signal.csv,1
awukslzjra,awukslzjra.wav,awukslzjra_signal.csv,1
axczxisdtb,axczxisdtb.wav,axczxisdtb_signal.csv,1
axoygtekut,axoygtekut.wav,axoygtekut_signal.csv,1
ayqvfdhslr,ayqvfdhslr.wav,ayqvfdhslr_signal.csv,1
azpuxunqyo,azpuxunqyo.wav,azpuxunqyo_signal.csv,1
bahdpoesir,bahdpoesir.wav,bahdpoesir_signal.csv,1
bdbhekrrwo,bdbhekrrwo.wav,bdbhekrrwo_signal.csv,1
bddjdhzfze,bddjdhzfze.wav,bddjdhzfze_signal.csv,1
bdgipnyobr,bdgipnyobr.wav,bdgipnyobr_signal.csv,1
bdnaqemxmr,bdnaqemxmr.wav,bdnaqemxmr_signal.csv,1
bdxuhamuqx,bdxuhamuqx.wav,bdxuhamuqx_signal.csv,1
beboztfcme,beboztfcme.wav,beboztfcme_signal.csv,1
benmsfzfaz,benmsfzfaz.wav,benmsfzfaz_signal.csv,1
beyebyhrph,beyebyhrph.wav,beyebyhrph_signal.csv,1
bgaogsjehq,bgaogsjehq.wav,bgaogsjehq_signal.csv,1
bggsurpgpr,bggsurpgpr.wav,bggsurpgpr_signal.csv,1
bgvhtpzknn,bgvhtpzknn.wav,bgvhtpzknn_signal.csv,1
bhbdugnurr,bhbdugnurr.wav,bhbdugnurr_signal.csv,1
bhpwpydzpo,bhpwpydzpo.wav,bhpwpydzpo_signal.csv,1
bilnggbxgu,bilnggbxgu.wav,bilnggbxgu_signal.csv,1
bjkmjilrxp,bjkmjilrxp.wav,bjkmjilrxp_signal.csv,1
bjsmaqefoi,bjsmaqefoi.wav,bjsmaqefoi_signal.csv,1
bkmdzhfzfh,bkmdzhfzfh.wav,bkmdzhfzfh_signal.csv,1
bkwxhglwct,bkwxhglwct.wav,bkwxhglwct_signal.csv,1
bmbbkwmxqj,bmbbkwmxqj.wav,bmbbkwmxqj_signal.csv,1
bmehkyanbj,bmehkyanbj.wav,bmehkyanbj_signal.csv,1
bmhvktyiwp,bmhvktyiwp.wav,bmhvktyiwp_signal.csv,1
bmjmjmbglm,bmjmjmbglm.wav,bmjmjmbglm_signal.csv,1
bmjzrlszhi,bmjzrlszhi.wav,bmjzrlszhi_signal.csv,1
bndybcqhfr,bndybcqhfr.wav,bndybcqhfr_signal.csv,1
bnjcdrfuov,bnjcdrfuov.wav,bnjcdrfuov_signal.csv,1
bntlodcfeg,bntlodcfeg.wav,bntlodcfeg_signal.csv,1
bopqhhalml,bopqhhalml.wav,bopqhhalml_signal.csv,1
bourlmzsio,bourlmzsio.wav,bourlmzsio_signal.csv,1
bpxckdzddv,bpxckdzddv.wav,bpxckdzddv_signal.csv,1
bqdjzqhcft,bqdjzqhcft.wav,bqdjzqhcft_signal.csv,1
bqhtpqmmqp,bqhtpqmmqp.wav,bqhtpqmmqp_signal.csv,1
bqnymlsayl,bqnymlsayl.wav,bqnymlsayl_signal.csv,1
brvqtabyxj,brvqtabyxj.wav,brvqtabyxj_signal.csv,1
bsfmwclnqy,bsfmwclnqy.wav,bsfmwclnqy_signal.csv,1
btiysiskpf,btiysiskpf.wav,btiysiskpf_signal.csv,1
btjlfpzbdu,btjlfpzbdu.wav,btjlfpzbdu_signal.csv,1
